id	movie_id	movie_name	user_id	ctime	message
9178	7066	Агенты А.Н.К.Л.	18818	2015-09-03 08:59:44.030501+03	Отличный фильм 
9176	7069	Фантастическая четверка	63947	2015-09-03 00:31:53.711863+03	скучный фильм много рутины. Несоветую ходить лишняя и бесполезная тоата денег.
9175	7069	Фантастическая четверка	64948	2015-09-03 00:18:13.253472+03	Подростковый фильм
9174	7288	Каникулы	64948	2015-09-03 00:17:38.184524+03	Вначале подумал что за дерьмо а потом понял это трэш
9173	7289	Ультраамериканцы	3681	2015-09-02 23:54:23.583566+03	Так себе на - раз. Кураж Бомбей вытянул хоть немного
9172	7289	Ультраамериканцы	67166	2015-09-02 23:28:26.443016+03	Фильм понравился! Очень необычный сюжет!
9168	7066	Агенты А.Н.К.Л.	68298	2015-09-02 21:55:36.86313+03	мастхэв
9167	5960	Мстители: Эра Альтрона	66084	2015-09-02 21:53:53.90139+03	Отл
9163	7041	Человек-муравей	62226	2015-09-02 20:52:34.191795+03	Отличный фильм
9161	6855	Мир Юрского периода	7232	2015-09-02 19:48:38.332569+03	Интересный фильм. 
9159	7021	Синистер 2	23404	2015-09-02 11:12:39.254118+03	Так себе
9156	7288	Каникулы	68274	2015-09-02 07:00:15.264827+03	Фильм гавно
9154	7288	Каникулы	56419	2015-09-02 01:14:47.741493+03	👍
9153	7021	Синистер 2	26547	2015-09-02 00:22:32.601772+03	Фильм гавно 
9142	7038	Этот неловкий момент	42541	2015-09-01 18:30:58.613904+03	Так себе..
9136	4782	Ночь в музее: Секрет гробницы	8762	2015-09-01 14:29:36.418453+03	Хороший фильм, в духе прошлых, хоть и немного послабее. Фильм дает понять, что это заключительная часть, поэтому конец получился по-особому трогательным.
9134	7041	Человек-муравей	46248	2015-09-01 13:53:02.075432+03	Неожиданно годный фильм. Всё в лучших традициях Марвел.
9133	7066	Агенты А.Н.К.Л.	62226	2015-09-01 12:03:26.152018+03	Отличный фильм
